16/01/2024 10:09:53 pm - User: mwaqas, Activity: User registered successfully
16/01/2024 10:10:13 pm - User: mwaqas, Activity: User login successfully
16/01/2024 10:10:41 pm - User: mwaqas12, Activity: User registered successfully
16/01/2024 10:10:47 pm - User: mwaqas12, Activity: User login successfully
16/01/2024 10:21:25 pm - User: waqas, Activity: User registered successfully
16/01/2024 10:21:30 pm - User: waqas, Activity: User login successfully
16/01/2024 10:30:26 pm - User: mwaqas, Activity: Invalid login attempt
16/01/2024 10:30:53 pm - User: waqas, Activity: User already registered, invalid signup attempt
16/01/2024 10:31:06 pm - User: waqas1, Activity: User registered successfully
16/01/2024 10:31:10 pm - User: waqas1, Activity: User login successfully
16/01/2024 10:32:05 pm - User: waqas1, Activity: Accessed all students successfully
16/01/2024 10:32:11 pm - User: waqas1, Activity: Accessed Dashboard
16/01/2024 10:41:11 pm - User: waqas1, Activity: User already registered, invalid signup attempt
16/01/2024 10:43:28 pm - User: waqas1, Activity: User already registered, invalid signup attempt
16/01/2024 10:46:03 pm - User: waqas2, Activity: User registered successfully
16/01/2024 10:48:28 pm - User: waqas1, Activity: User already registered, invalid signup attempt
16/01/2024 10:48:36 pm - User: ABC, Activity: User registered successfully
16/01/2024 10:53:22 pm - User: waqas1, Activity: User login successfully
16/01/2024 11:12:39 pm - User: waqas1, Activity: User login successfully
16/01/2024 11:12:45 pm - User: waqas1, Activity: Logout from system
16/01/2024 11:12:47 pm - User: waqas1, Activity: User login successfully
16/01/2024 11:18:42 pm - User: waqas1, Activity: User login successfully
16/01/2024 11:19:18 pm - User: waqas, Activity: User login successfully
16/01/2024 11:22:30 pm - User: waqas, Activity: User login successfully
16/01/2024 11:33:01 pm - User: waqas, Activity: User login successfully
16/01/2024 11:36:37 pm - User: Anonymous, Activity: Attempted to access StudentForm without logging in
16/01/2024 11:36:40 pm - User: waqas, Activity: User login successfully
16/01/2024 11:38:58 pm - User: Anonymous, Activity: Attempted to access StudentForm without logging in
16/01/2024 11:39:07 pm - User: Anonymous, Activity: Attempted to access StudentForm without logging in
16/01/2024 11:39:18 pm - User: waqas, Activity: User login successfully
16/01/2024 11:41:51 pm - User: waqas, Activity: User login successfully
16/01/2024 11:41:57 pm - User: waqas, Activity: User login successfully
16/01/2024 11:42:58 pm - User: waqas, Activity: User login successfully
16/01/2024 11:43:00 pm - User: waqas, Activity: Accessed all students successfully
16/01/2024 11:43:26 pm - User: waqas, Activity: Accessed Dashboard
16/01/2024 11:45:39 pm - User: waqas, Activity: User login successfully
16/01/2024 11:45:59 pm - User: waqas, Activity: Submitted StudentForm and student added successfully
16/01/2024 11:46:07 pm - User: waqas, Activity: Logout from system
16/01/2024 11:46:10 pm - User: waqas, Activity: User login successfully
16/01/2024 11:46:12 pm - User: waqas, Activity: Accessed all students successfully
16/01/2024 11:49:50 pm - User: Anonymous, Activity: Attempted to access all Students without logging in
16/01/2024 11:50:01 pm - User: waqas, Activity: User login successfully
16/01/2024 11:50:05 pm - User: waqas, Activity: Accessed all students successfully
16/01/2024 11:50:12 pm - User: waqas, Activity: Accessed StudentForm
16/01/2024 11:50:16 pm - User: waqas, Activity: Accessed all students successfully
16/01/2024 11:50:40 pm - User: waqas, Activity: Logout from system
16/01/2024 11:58:58 pm - User: waqas, Activity: User login successfully
16/01/2024 11:59:01 pm - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:03:45 am - User: waqas, Activity: User login successfully
17/01/2024 12:03:53 am - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:03:56 am - User: waqas, Activity: Viewed details of student with ID 1
17/01/2024 12:04:08 am - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:04:14 am - User: waqas, Activity: Accessed Edit page for student with ID 1
17/01/2024 12:04:20 am - User: waqas, Activity: Accessed StudentForm
17/01/2024 12:04:23 am - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:04:25 am - User: Programming, Activity: Decremented by 1
17/01/2024 12:04:25 am - User: waqas, Activity: Deleted student with ID 1
17/01/2024 12:14:07 am - User: Anonymous, Activity: Attempted to delete student with ID 1 without logging in
17/01/2024 12:14:10 am - User: waqas, Activity: User login successfully
17/01/2024 12:14:14 am - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:14:19 am - User: waqas, Activity: Viewed details of student with ID 2
17/01/2024 12:14:29 am - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:14:49 am - User: waqas, Activity: User login successfully
17/01/2024 12:15:44 am - User: waqas, Activity: Submitted StudentForm and student added successfully
17/01/2024 12:17:51 am - User: Anonymous, Activity: Attempted to access StudentForm without logging in
17/01/2024 12:17:54 am - User: waqas, Activity: User login successfully
17/01/2024 12:19:41 am - User: waqas, Activity: User login successfully
17/01/2024 12:19:46 am - User: waqas, Activity: Logout from system
17/01/2024 12:19:48 am - User: waqas, Activity: User login successfully
17/01/2024 12:19:49 am - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:20:05 am - User: waqas, Activity: Accessed StudentForm
17/01/2024 12:20:28 am - User: waqas, Activity: User login successfully
17/01/2024 12:20:30 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:23:30 am - User: Anonymous, Activity: Attempted to access dashboard without logging in
17/01/2024 12:27:16 am - User: Anonymous, Activity: Attempted to access dashboard without logging in
17/01/2024 12:27:17 am - User: waqas, Activity: User login successfully
17/01/2024 12:27:19 am - User: waqas, Activity: User login successfully
17/01/2024 12:27:21 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:28:31 am - User: Anonymous, Activity: Attempted to access dashboard without logging in
17/01/2024 12:28:36 am - User: waqas, Activity: User login successfully
17/01/2024 12:28:39 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:30:20 am - User: Anonymous, Activity: Attempted to access dashboard without logging in
17/01/2024 12:30:24 am - User: waqas, Activity: User login successfully
17/01/2024 12:30:26 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:31:53 am - User: Anonymous, Activity: Attempted to access dashboard without logging in
17/01/2024 12:32:17 am - User: waqas, Activity: User login successfully
17/01/2024 12:32:19 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:33:29 am - User: Anonymous, Activity: Attempted to access dashboard without logging in
17/01/2024 12:33:37 am - User: waqas, Activity: User login successfully
17/01/2024 12:33:40 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:37:06 am - User: waqas, Activity: User login successfully
17/01/2024 12:37:08 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:39:30 am - User: waqas, Activity: User login successfully
17/01/2024 12:39:32 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:43:11 am - User: waqas, Activity: User login successfully
17/01/2024 12:43:14 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:45:37 am - User: waqas, Activity: User login successfully
17/01/2024 12:45:39 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:46:15 am - User: waqas, Activity: Accessed all students successfully
17/01/2024 12:46:18 am - User: waqas, Activity: Accessed Dashboard
17/01/2024 12:53:49 am - User: Anonymous, Activity: Attempted to access dashboard without logging in
17/01/2024 12:54:11 am - User: waqas, Activity: User login successfully
